bill_id,date,chamber,sequence,action
1890268,2024-11-12,House,1,Filed
1890268,2025-03-07,House,2,"Read first time"
1890268,2025-03-07,House,3,"Referred to Agriculture & Livestock"
1890268,2025-03-18,House,4,"Scheduled for public hearing on . . ."
1890269,2024-11-12,House,1,Filed
1890269,2025-03-03,House,2,"Read first time"
1890269,2025-03-03,House,3,"Referred to Ways & Means"
1890270,2024-11-12,House,1,Filed
1890270,2025-02-28,House,2,"Read first time"
1890270,2025-02-28,House,3,"Referred to Transportation"
1890271,2024-11-12,House,1,Filed
1890271,2025-03-03,House,2,"Read first time"
1890271,2025-03-03,House,3,"Referred to Homeland Security, Public Safety & Veterans' Affairs"
1890272,2024-11-12,House,1,Filed
1890272,2025-02-28,House,2,"Read first time"
1890272,2025-02-28,House,3,"Referred to Homeland Security, Public Safety & Veterans' Affairs"
1890273,2024-11-12,House,1,Filed
1890273,2025-03-07,House,2,"Read first time"
1890273,2025-03-07,House,3,"Referred to Appropriations"
1890274,2024-11-12,House,1,Filed
1890274,2025-02-27,House,2,"Read first time"
1890274,2025-02-27,House,3,"Referred to Human Services"
1890275,2024-11-12,House,1,Filed
1890275,2025-03-05,House,2,"Read first time"
1890275,2025-03-05,House,3,"Referred to Transportation"
1890276,2024-11-12,House,1,Filed
1890276,2025-03-10,House,2,"Read first time"
1890276,2025-03-10,House,3,"Referred to Homeland Security, Public Safety & Veterans' Affairs"
1890276,2025-03-19,House,4,"Scheduled for public hearing on . . ."
1890277,2024-11-12,House,1,Filed
1890277,2025-02-28,House,2,"Read first time"
1890277,2025-02-28,House,3,"Referred to Homeland Security, Public Safety & Veterans' Affairs"
1890278,2024-11-12,House,1,Filed
1890278,2025-03-05,House,2,"Read first time"
1890278,2025-03-05,House,3,"Referred to Corrections"
1890279,2024-11-12,House,1,Filed
1890279,2025-03-07,House,2,"Read first time"
1890279,2025-03-07,House,3,"Referred to Delivery of Government Efficiency"
1890279,2025-03-19,House,4,"Scheduled for public hearing on . . ."
1890280,2024-11-12,House,1,Filed
1890280,2025-02-28,House,2,"Read first time"
1890280,2025-02-28,House,3,"Referred to Elections"
1890280,2025-03-20,House,4,"Scheduled for public hearing on . . ."
1890281,2024-11-12,House,1,Filed
1890281,2025-03-07,House,2,"Read first time"
1890281,2025-03-07,House,3,"Referred to Human Services"
1890282,2024-11-12,House,1,Filed
1890282,2025-03-07,House,2,"Read first time"
1890282,2025-03-07,House,3,"Referred to Energy Resources"
1890283,2024-11-12,House,1,Filed
1890283,2025-03-06,House,2,"Read first time"
1890283,2025-03-06,House,3,"Referred to Corrections"
1890284,2024-11-12,House,1,Filed
1890284,2025-02-27,House,2,"Read first time"
1890284,2025-02-27,House,3,"Referred to Public Education"
1890285,2024-11-12,House,1,Filed
1890285,2025-03-10,House,2,"Read first time"
1890285,2025-03-10,House,3,"Referred to Trade, Workforce & Economic Development"
1890286,2024-11-12,House,1,Filed
1890286,2025-03-07,House,2,"Read first time"
1890286,2025-03-07,House,3,"Referred to s/c on Defense & Veterans' Affairs by Speaker"
1890286,2025-03-17,House,4,"Scheduled for public hearing in s/c on . . ."
1890287,2024-11-12,House,1,Filed
1890287,2025-03-05,House,2,"Read first time"
1890287,2025-03-05,House,3,"Referred to s/c on County & Regional Government by Speaker"
1890287,2025-03-17,House,4,"Scheduled for public hearing in s/c on . . ."
1890288,2024-11-12,House,1,Filed
1890288,2025-03-07,House,2,"Read first time"
1890288,2025-03-07,House,3,"Referred to State Affairs"
1890289,2024-11-12,House,1,Filed
1890289,2025-02-28,House,2,"Read first time"
1890289,2025-02-28,House,3,"Referred to Public Education"
1890290,2024-11-12,House,1,Filed
1890290,2025-03-06,House,2,"Read first time"
1890290,2025-03-06,House,3,"Referred to s/c on Transportation Funding by Speaker"
1890291,2024-11-12,House,1,Filed
1890291,2025-03-07,House,2,"Read first time"
1890291,2025-03-07,House,3,"Referred to Elections"
1890292,2024-11-12,House,1,Filed
1890292,2025-02-19,House,2,"Referred to Local & Consent Calendars"
1890293,2024-11-12,House,1,Filed
1890293,2025-03-05,House,2,"Read first time"
1890293,2025-03-05,House,3,"Referred to Judiciary & Civil Jurisprudence"
1890294,2024-11-12,House,1,Filed
1890294,2025-02-27,House,2,"Read first time"
1890294,2025-02-27,House,3,"Referred to Appropriations"
1890295,2024-11-12,House,1,Filed
1890295,2025-03-03,House,2,"Read first time"
1890295,2025-03-03,House,3,"Referred to Agriculture & Livestock"
1890296,2024-11-12,House,1,Filed
1890296,2025-03-07,House,2,"Read first time"
1890296,2025-03-07,House,3,"Referred to Criminal Jurisprudence"
1890297,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890297,2024-11-12,Senate,2,Filed
1890297,2025-02-03,Senate,3,"Read first time"
1890297,2025-02-03,Senate,4,"Referred to Health & Human Services"
1890297,2025-02-11,Senate,5,"Co-author authorized"
1890298,2024-11-12,House,1,Filed
1890298,2025-02-27,House,2,"Read first time"
1890298,2025-02-27,House,3,"Referred to Public Health"
1890299,2024-11-12,House,1,Filed
1890299,2025-03-04,House,2,"Read first time"
1890299,2025-03-04,House,3,"Referred to Elections"
1890299,2025-03-13,House,4,"Scheduled for public hearing on . . ."
1890299,2025-03-13,House,5,"Considered in public hearing"
1890299,2025-03-13,House,6,"Testimony taken/registration(s) recorded in committee"
1890299,2025-03-13,House,7,"Left pending in committee"
1890300,2024-11-12,House,1,Filed
1890300,2025-02-28,House,2,"Read first time"
1890300,2025-02-28,House,3,"Referred to Intergovernmental Affairs"
1890301,2024-11-12,House,1,Filed
1890301,2025-02-28,House,2,"Read first time"
1890301,2025-02-28,House,3,"Referred to Criminal Jurisprudence"
1890302,2024-11-12,House,1,Filed
1890302,2025-03-07,House,2,"Read first time"
1890302,2025-03-07,House,3,"Referred to Elections"
1890303,2024-11-12,House,1,Filed
1890303,2025-03-04,House,2,"Read first time"
1890303,2025-03-04,House,3,"Referred to Criminal Jurisprudence"
1890304,2024-11-12,House,1,Filed
1890304,2025-03-07,House,2,"Read first time"
1890304,2025-03-07,House,3,"Referred to State Affairs"
1890305,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890305,2024-11-12,Senate,2,Filed
1890305,2025-02-03,Senate,3,"Read first time"
1890305,2025-02-03,Senate,4,"Referred to Transportation"
1890305,2025-03-12,Senate,5,"Scheduled for public hearing on . . ."
1890305,2025-03-12,Senate,6,"Considered in public hearing"
1890305,2025-03-12,Senate,7,"Vote taken in committee"
1890305,2025-03-13,Senate,8,"Reported favorably w/o amendments"
1890305,2025-03-13,Senate,9,"Recommended for local & uncontested calendar"
1890305,2025-03-13,Senate,10,"Committee report printed and distributed"
1890306,2024-11-12,House,1,Filed
1890306,2025-03-03,House,2,"Read first time"
1890306,2025-03-03,House,3,"Referred to s/c on Property Tax Appraisals by Speaker"
1890307,2024-11-12,House,1,Filed
1890307,2025-03-06,House,2,"Read first time"
1890307,2025-03-06,House,3,"Referred to Delivery of Government Efficiency"
1890308,2024-11-12,House,1,Filed
1890308,2025-03-10,House,2,"Read first time"
1890308,2025-03-10,House,3,"Referred to Public Education"
1890309,2024-11-12,House,1,Filed
1890309,2025-02-28,House,2,"Read first time"
1890309,2025-02-28,House,3,"Referred to Energy Resources"
1890310,2024-11-12,House,1,Filed
1890310,2025-02-28,House,2,"Read first time"
1890310,2025-02-28,House,3,"Referred to Land & Resource Management"
1890310,2025-03-13,House,4,"Scheduled for public hearing on . . ."
1890310,2025-03-13,House,5,"Considered in public hearing"
1890310,2025-03-13,House,6,"Testimony taken/registration(s) recorded in committee"
1890310,2025-03-13,House,7,"Left pending in committee"
1890311,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890311,2024-11-12,Senate,2,Filed
1890311,2025-02-03,Senate,3,"Read first time"
1890311,2025-02-03,Senate,4,"Referred to Health & Human Services"
1890312,2024-11-12,House,1,Filed
1890312,2025-02-19,House,2,"Referred to Local & Consent Calendars"
1890313,2024-11-12,House,1,Filed
1890313,2025-02-19,House,2,"Referred to Local & Consent Calendars"
1890313,2025-03-05,House,3,"Considered in Local & Consent Calendars"
1890313,2025-03-06,House,4,"Placed on Congrat. & Memorial Res. Calendar"
1890313,2025-03-06,House,5,"Laid before the House"
1890313,2025-03-06,House,6,Adopted
1890313,2025-03-06,House,7,"Reported enrolled"
1890314,2024-11-12,House,1,Filed
1890314,2025-03-06,House,2,"Read first time"
1890314,2025-03-06,House,3,"Referred to Ways & Means"
1890315,2024-11-12,House,1,Filed
1890315,2025-02-19,House,2,"Referred to Local & Consent Calendars"
1890315,2025-03-05,House,3,"Considered in Local & Consent Calendars"
1890315,2025-03-06,House,4,"Placed on Congrat. & Memorial Res. Calendar"
1890315,2025-03-06,House,5,"Laid before the House"
1890315,2025-03-06,House,6,Adopted
1890315,2025-03-06,House,7,"Reported enrolled"
1890316,2024-11-12,House,1,Filed
1890316,2025-03-06,House,2,"Read first time"
1890316,2025-03-06,House,3,"Referred to Pensions, Investments & Financial Services"
1890317,2024-11-12,House,1,Filed
1890317,2025-02-28,House,2,"Read first time"
1890317,2025-02-28,House,3,"Referred to Natural Resources"
1890317,2025-03-12,House,4,"Scheduled for public hearing on . . ."
1890317,2025-03-12,House,5,"Considered in public hearing"
1890317,2025-03-12,House,6,"Testimony taken/registration(s) recorded in committee"
1890317,2025-03-12,House,7,"Left pending in committee"
1890318,2024-11-12,House,1,Filed
1890318,2025-03-04,House,2,"Read first time"
1890318,2025-03-04,House,3,"Referred to Public Education"
1890319,2024-11-12,House,1,Filed
1890319,2025-02-28,House,2,"Read first time"
1890319,2025-02-28,House,3,"Referred to State Affairs"
1890320,2024-11-12,House,1,Filed
1890320,2025-03-04,House,2,"Read first time"
1890320,2025-03-04,House,3,"Referred to Public Education"
1890321,2024-11-12,House,1,Filed
1890321,2025-03-07,House,2,"Read first time"
1890321,2025-03-07,House,3,"Referred to Ways & Means"
1890322,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890322,2024-11-12,Senate,2,Filed
1890322,2025-02-03,Senate,3,"Read first time"
1890322,2025-02-03,Senate,4,"Referred to Education K-16"
1890323,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890323,2024-11-12,Senate,2,Filed
1890323,2025-02-03,Senate,3,"Read first time"
1890323,2025-02-03,Senate,4,"Referred to Health & Human Services"
1890324,2024-11-12,House,1,Filed
1890324,2025-03-03,House,2,"Read first time"
1890324,2025-03-03,House,3,"Referred to Public Health"
1890325,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890325,2024-11-12,Senate,2,Filed
1890325,2025-02-03,Senate,3,"Read first time"
1890325,2025-02-03,Senate,4,"Referred to Education K-16"
1890326,2024-11-12,House,1,Filed
1890326,2025-03-05,House,2,"Read first time"
1890326,2025-03-05,House,3,"Referred to s/c on Family & Fiduciary Relationships by Speaker"
1890327,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890327,2024-11-12,Senate,2,Filed
1890327,2025-02-03,Senate,3,"Read first time"
1890327,2025-02-03,Senate,4,"Referred to Education K-16"
1890328,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890328,2024-11-12,Senate,2,Filed
1890328,2025-02-03,Senate,3,"Read first time"
1890328,2025-02-03,Senate,4,"Referred to Criminal Justice"
1890329,2024-11-12,House,1,Filed
1890329,2025-03-05,House,2,"Read first time"
1890329,2025-03-05,House,3,"Referred to Human Services"
1890330,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890330,2024-11-12,Senate,2,Filed
1890330,2025-02-03,Senate,3,"Read first time"
1890330,2025-02-03,Senate,4,"Referred to Education K-16"
1890330,2025-02-27,Senate,5,"Scheduled for public hearing on . . ."
1890330,2025-02-27,Senate,6,"Considered in public hearing"
1890330,2025-02-27,Senate,7,"Testimony taken in committee"
1890330,2025-02-27,Senate,8,"Left pending in committee"
1890330,2025-03-06,Senate,9,"Co-author authorized"
1890330,2025-03-13,Senate,10,"Considered in public hearing"
1890330,2025-03-13,Senate,11,"Vote taken in committee"
1890331,2024-11-12,House,1,Filed
1890331,2025-02-27,House,2,"Read first time"
1890331,2025-02-27,House,3,"Referred to Ways & Means"
1890332,2024-11-12,House,1,Filed
1890332,2025-03-07,House,2,"Read first time"
1890332,2025-03-07,House,3,"Referred to Elections"
1890333,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890333,2024-11-12,Senate,2,Filed
1890333,2025-02-03,Senate,3,"Read first time"
1890333,2025-02-03,Senate,4,"Referred to State Affairs"
1890334,2024-11-12,House,1,Filed
1890334,2025-03-05,House,2,"Read first time"
1890334,2025-03-05,House,3,"Referred to Homeland Security, Public Safety & Veterans' Affairs"
1890335,2024-11-12,House,1,Filed
1890335,2025-03-06,House,2,"Read first time"
1890335,2025-03-06,House,3,"Referred to Criminal Jurisprudence"
1890336,2024-11-12,House,1,Filed
1890336,2025-03-06,House,2,"Read first time"
1890336,2025-03-06,House,3,"Referred to Homeland Security, Public Safety & Veterans' Affairs"
1890337,2024-11-12,House,1,Filed
1890337,2025-02-28,House,2,"Read first time"
1890337,2025-02-28,House,3,"Referred to Environmental Regulation"
1890338,2024-11-12,House,1,Filed
1890338,2025-02-27,House,2,"Read first time"
1890338,2025-02-27,House,3,"Referred to State Affairs"
1890338,2025-03-19,House,4,"Scheduled for public hearing on . . ."
1890339,2024-11-12,House,1,Filed
1890339,2025-03-03,House,2,"Read first time"
1890339,2025-03-03,House,3,"Referred to Elections"
1890341,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890341,2024-11-12,Senate,2,Filed
1890341,2025-02-03,Senate,3,"Read first time"
1890341,2025-02-03,Senate,4,"Referred to Transportation"
1890341,2025-03-12,Senate,5,"Scheduled for public hearing on . . ."
1890341,2025-03-12,Senate,6,"Considered in public hearing"
1890341,2025-03-12,Senate,7,"Testimony taken in committee"
1890341,2025-03-12,Senate,8,"Vote taken in committee"
1890341,2025-03-13,Senate,9,"Reported favorably as substituted"
1890341,2025-03-13,Senate,10,"Committee report printed and distributed"
1890342,2024-11-12,House,1,Filed
1890342,2025-02-28,House,2,"Read first time"
1890342,2025-02-28,House,3,"Referred to Pensions, Investments & Financial Services"
1890343,2024-11-12,House,1,Filed
1890343,2025-03-03,House,2,"Read first time"
1890343,2025-03-03,House,3,"Referred to s/c on Property Tax Appraisals by Speaker"
1890344,2024-11-12,House,1,Filed
1890344,2025-03-03,House,2,"Read first time"
1890344,2025-03-03,House,3,"Referred to Transportation"
1890345,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890345,2024-11-12,Senate,2,Filed
1890345,2025-02-03,Senate,3,"Read first time"
1890345,2025-02-03,Senate,4,"Referred to Local Government"
1890346,2024-11-12,House,1,Filed
1890346,2025-03-07,House,2,"Read first time"
1890346,2025-03-07,House,3,"Referred to Ways & Means"
1890347,2024-11-12,House,1,Filed
1890347,2025-02-28,House,2,"Read first time"
1890347,2025-02-28,House,3,"Referred to State Affairs"
1890348,2024-11-12,House,1,Filed
1890348,2025-03-07,House,2,"Read first time"
1890348,2025-03-07,House,3,"Referred to s/c on County & Regional Government by Speaker"
1890349,2024-11-12,House,1,Filed
1890349,2025-02-27,House,2,"Read first time"
1890349,2025-02-27,House,3,"Referred to Trade, Workforce & Economic Development"
1890349,2025-03-19,House,4,"Scheduled for public hearing on . . ."
1890350,2024-11-12,House,1,Filed
1890350,2025-03-05,House,2,"Read first time"
1890350,2025-03-05,House,3,"Referred to Public Education"
1890351,2024-11-12,House,1,Filed
1890351,2025-03-10,House,2,"Read first time"
1890351,2025-03-10,House,3,"Referred to Environmental Regulation"
1890352,2024-11-12,House,1,Filed
1890352,2025-03-04,House,2,"Read first time"
1890352,2025-03-04,House,3,"Referred to Public Health"
1890353,2024-11-12,House,1,Filed
1890353,2025-03-03,House,2,"Read first time"
1890353,2025-03-03,House,3,"Referred to Criminal Jurisprudence"
1890354,2024-11-12,House,1,Filed
1890354,2025-03-07,House,2,"Read first time"
1890354,2025-03-07,House,3,"Referred to Higher Education"
1890355,2024-11-12,House,1,Filed
1890355,2025-03-06,House,2,"Read first time"
1890355,2025-03-06,House,3,"Referred to Delivery of Government Efficiency"
1890355,2025-03-19,House,4,"Scheduled for public hearing on . . ."
1890356,2024-11-12,House,1,Filed
1890356,2025-03-05,House,2,"Read first time"
1890356,2025-03-05,House,3,"Referred to Criminal Jurisprudence"
1890357,2024-11-12,House,1,Filed
1890357,2025-03-06,House,2,"Read first time"
1890357,2025-03-06,House,3,"Referred to Public Health"
1890357,2025-03-17,House,4,"Scheduled for public hearing on . . ."
1890358,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890358,2024-11-12,Senate,2,Filed
1890358,2025-02-03,Senate,3,"Read first time"
1890358,2025-02-03,Senate,4,"Referred to Education K-16"
1890359,2024-11-12,House,1,Filed
1890359,2025-03-05,House,2,"Read first time"
1890359,2025-03-05,House,3,"Referred to Intergovernmental Affairs"
1890360,2024-11-12,House,1,Filed
1890360,2025-03-04,House,2,"Read first time"
1890360,2025-03-04,House,3,"Referred to Natural Resources"
1890361,2024-11-12,House,1,Filed
1890361,2025-03-05,House,2,"Read first time"
1890361,2025-03-05,House,3,"Referred to State Affairs"
1890362,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890362,2024-11-12,Senate,2,Filed
1890362,2025-01-28,Senate,3,"Co-author authorized"
1890362,2025-02-03,Senate,4,"Read first time"
1890362,2025-02-03,Senate,5,"Referred to State Affairs"
1890363,2024-11-12,House,1,Filed
1890363,2025-03-05,House,2,"Read first time"
1890363,2025-03-05,House,3,"Referred to Public Education"
1890364,2024-11-12,House,1,Filed
1890364,2025-02-28,House,2,"Read first time"
1890364,2025-02-28,House,3,"Referred to Natural Resources"
1890364,2025-03-12,House,4,"Scheduled for public hearing on . . ."
1890364,2025-03-12,House,5,"Considered in public hearing"
1890364,2025-03-12,House,6,"Testimony taken/registration(s) recorded in committee"
1890364,2025-03-12,House,7,"Left pending in committee"
1890365,2024-11-12,House,1,Filed
1890365,2025-03-07,House,2,"Read first time"
1890365,2025-03-07,House,3,"Referred to s/c on Family & Fiduciary Relationships by Speaker"
1890366,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890366,2024-11-12,Senate,2,Filed
1890366,2025-02-03,Senate,3,"Read first time"
1890366,2025-02-03,Senate,4,"Referred to State Affairs"
1890367,2024-11-12,House,1,Filed
1890367,2025-03-07,House,2,"Read first time"
1890367,2025-03-07,House,3,"Referred to Delivery of Government Efficiency"
1890368,2024-11-12,House,1,Filed
1890368,2025-02-28,House,2,"Read first time"
1890368,2025-02-28,House,3,"Referred to Ways & Means"
1890369,2024-11-12,House,1,Filed
1890369,2025-02-28,House,2,"Read first time"
1890369,2025-02-28,House,3,"Referred to Criminal Jurisprudence"
1890369,2025-03-11,House,4,"Scheduled for public hearing on . . ."
1890369,2025-03-11,House,5,"Considered in public hearing"
1890369,2025-03-11,House,6,"Testimony taken/registration(s) recorded in committee"
1890369,2025-03-11,House,7,"Left pending in committee"
1890370,2024-11-12,House,1,Filed
1890370,2025-03-03,House,2,"Read first time"
1890370,2025-03-03,House,3,"Referred to Appropriations"
1890371,2024-11-12,House,1,Filed
1890371,2025-03-05,House,2,"Read first time"
1890371,2025-03-05,House,3,"Referred to Public Education"
1890372,2024-11-12,House,1,Filed
1890372,2025-03-06,House,2,"Read first time"
1890372,2025-03-06,House,3,"Referred to Delivery of Government Efficiency"
1890373,2024-11-12,House,1,Filed
1890373,2025-02-27,House,2,"Read first time"
1890373,2025-02-27,House,3,"Referred to Environmental Regulation"
1890374,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890374,2024-11-12,Senate,2,Filed
1890374,2025-02-03,Senate,3,"Read first time"
1890374,2025-02-03,Senate,4,"Referred to Finance"
1890375,2024-11-12,House,1,Filed
1890375,2025-03-03,House,2,"Read first time"
1890375,2025-03-03,House,3,"Referred to State Affairs"
1890376,2024-11-12,House,1,Filed
1890376,2025-02-27,House,2,"Read first time"
1890376,2025-02-27,House,3,"Referred to Agriculture & Livestock"
1890376,2025-03-11,House,4,"Scheduled for public hearing on . . ."
1890377,2024-11-12,House,1,Filed
1890377,2025-03-06,House,2,"Read first time"
1890377,2025-03-06,House,3,"Referred to Delivery of Government Efficiency"
1890378,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890378,2024-11-12,Senate,2,Filed
1890378,2025-02-03,Senate,3,"Read first time"
1890378,2025-02-03,Senate,4,"Referred to Water, Agriculture, & Rural Affairs"
1890379,2024-11-12,House,1,Filed
1890379,2025-03-07,House,2,"Read first time"
1890379,2025-03-07,House,3,"Referred to s/c on Workforce by Speaker"
1890380,2024-11-12,House,1,Filed
1890380,2025-03-06,House,2,"Read first time"
1890380,2025-03-06,House,3,"Referred to Public Education"
1890381,2024-11-12,House,1,Filed
1890381,2025-03-04,House,2,"Read first time"
1890381,2025-03-04,House,3,"Referred to Homeland Security, Public Safety & Veterans' Affairs"
1890382,2024-11-12,House,1,Filed
1890382,2025-03-05,House,2,"Read first time"
1890382,2025-03-05,House,3,"Referred to Ways & Means"
1890383,2024-11-12,Senate,1,"Received by the Secretary of the Senate"
1890383,2024-11-12,Senate,2,Filed
1890383,2025-02-03,Senate,3,"Read first time"
1890383,2025-02-03,Senate,4,"Referred to Business & Commerce"
1890384,2024-11-12,House,1,Filed
1890384,2025-03-07,House,2,"Read first time"
1890384,2025-03-07,House,3,"Referred to State Affairs"
1890385,2024-11-12,House,1,Filed
1890385,2025-02-28,House,2,"Read first time"
